DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2022-01-28,"34,99",Microsoft*Xbox,Assinaturas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2024-04-07,"34,99",Pag*Pointbeerbetania,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-04-03,"34,95",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-12-22,"34,94",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-01-23,"34,94",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-05-25,"34,93",Ifd*C.F.C. Burger Hamb,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-03,"34,91",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-04-03,"34,9",Dm *Canva,Assinaturas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-09-24,"34,5",Geraldo Ferreira de M,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2023-12-07,"34,02",Saldo em rotativo,Taxas/Imposto,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-01-06,34,Apolo,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2022-01-30,"33,95",Panificadora Palmeiras,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2024-06-11,"33,95",Acf Raja,Taxas/Imposto,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2023-12-03,"33,8",Mc Donalds Lj Ipz,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-10-02,"33,32",Posto Norte Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2022-05-14,33,Imperial Distribuidora,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-06
